Rank,Africa's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,Kinshasa,0,0,0,0,0,0,0,0
2,Lagos,"[6.4404830932617, 3.4068150520325]",167,0,94,0,0,167,0
3,Cairo,0,0,0,0,0,0,0,0
4,Giza,0,0,0,0,0,0,0,0
5,Johannesburg,"[-26.178666, 28.13314]",69,11.8,41.3,0,3.8,69,38
6,Dar es Salaam,0,0,0,0,0,0,0,0
7,Alexandria,"[38.8577, -77.05922]",34,0.1,88,11.8,0.2,34,0
8,Abidjan,"[5.36, -4.0083]",85,0,83,0,0,85,0
9,Nairobi,0,0,0,0,0,0,0,0
10,Cape Town,"[-33.913833, 18.425167]",48,0,75,0,0,48,37
11,Casablanca,0,0,0,0,0,0,0,0
12,Accra,"[5.580642, -0.170724]",112,0,74,0,0,112,0
13,Ekurhuleni,0,0,0,0,0,0,0,0
14,Durban,"[-29.858283, 31.027286]",20,0,97,0,0.1,20,12
15,Tshwane,"[-25.71365, 28.132096]",28,0.1,56.4,0,28.5,0,0
16,Algiers,"[36.7558, 3.039114]",107,0,68,0,0,107,0
17,Kumasi,0,0,0,0,0,0,0,0
18,Tripoli,0,0,0,0,0,0,0,0
19,Addis Ababa,"[9.058498, 38.761642]",53,0,16,0,0,53,0
20,Kano,0,0,0,0,0,0,0,0
21,Luanda,0,0,0,0,0,0,0,0
22,Ibadan,0,0,0,0,0,0,0,0
23,Douala,0,0,0,0,0,0,0,0
24,Omdurman,0,0,0,0,0,0,0,0
25,Yaoundé,0,0,0,0,0,0,0,0
26,Bamako,"[12.632524, -8.036911]",162,0,5,0,0,162,0
27,Lusaka,0,0,0,0,0,0,0,0
28,Conakry,"[9.5951, -13.6364]",70,0,65,0,0,70,0
29,Mogadishu,0,0,0,0,0,0,0,0
30,Kampala,"[0.300225, 32.591553]",153,0,74,0,0,153,0
31,Mombasa,0,0,0,0,0,0,0,0
32,Harare,0,0,0,0,0,0,0,0
33,Lomé,0,0,0,0,0,0,0,0
34,Ouagadougou,0,0,0,0,0,0,0,0
35,Khartoum,"[15.5007, 32.5599]",189,0,16,0,0,189,0
36,Brazzaville,0,0,0,0,0,0,0,0
37,Antananarivo,"[-18.908479690552, 47.537509918213]",5,0,54,0,0,5,0
38,Lubumbashi,0,0,0,0,0,0,0,0
39,Kisumu,0,0,0,0,0,0,0,0
40,Mbuji-Mayi,0,0,0,0,0,0,0,0
41,Gqeberha,0,0,0,0,0,0,0,0
42,Shubra el-Kheima,0,0,0,0,0,0,0,0
43,Dakar,0,0,0,0,0,0,0,0
44,Benin City,0,0,0,0,0,0,0,0
45,Kigali,0,0,0,0,0,0,0,0
46,Fez,0,0,0,0,0,0,0,0
47,Bujumbura,0,0,0,0,0,0,0,0
48,Freetown,0,0,0,0,0,0,0,0
49,Maputo,0,0,0,0,0,0,0,0
50,Monrovia,0,0,0,0,0,0,0,0
51,Khartoum North,0,0,0,0,0,0,0,0
52,Port Harcourt,0,0,0,0,0,0,0,0
53,Lilongwe,0,0,0,0,0,0,0,0
54,Niamey,0,0,0,0,0,0,0,0
55,Nouakchott,0,0,0,0,0,0,0,0
56,N'Djamena,"[12.1348, 15.0557]",197,0,10,0,0,197,0
57,Tangier,0,0,0,0,0,0,0,0
58,Marrakesh,0,0,0,0,0,0,0,0
59,Salé,"[53.44853081, -2.32097439]",9,0,91,0,0,0,9
