Rank,Asia's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,Shanghai,"[31.2047372, 121.4489017]",63,6.4,84.2,32.5,1.1,63,49
2,Karachi,"[24.8415, 67.0091]",97,0,8,0,0,97,0
3,Beijing,"[39.954592, 116.468117]",193,9.1,87,6.5,1.1,198,76
4,Dhaka,"[23.796373, 90.424614]",161,0,31,0,0,161,0
5,Delhi,"[28.63576, 77.22445]",99,0,33,0,0,107,0
6,Istanbul,"[41.014722, 28.954722]",30,3.8,65,6.1,2.7,59,30
8,Mumbai,"[19.07283, 72.88261]",151,0,18,0,0,142,0
9,Guangzhou,"[23.141191, 113.258374]",82,5.5,53,0,3.1,82,54
10,Shenzhen,"[22.543099, 114.057868]",70,5.5,73.5,49.2,4.6,70,51
11,Suzhou,"[31.298886, 120.585316]",72,6.4,77,21.6,1.6,72,44
12,Jakarta,"[-6.182536, 106.834236]",68,0,69.7,0,0,68,22
13,Lahore,"[31.560078, 74.33589]",72,0,33,0,0,72,0
14,South Korea,"[36.125022, 127.096762]",55,4.5,0,36.8,5.8,55,53
15,Ho Chi Minh City,"[10.782978, 106.700711]",59,0,52,0,0,59,0
17,Bangkok,"[13.7563309, 100.5017651]",87,0.1,68,11.5,1.6,87,50
18,Dongguan,"[23.020536, 113.751765]",65,4.6,73,0,3.1,65,44
19,Chongqing,"[29.56301, 106.551557]",134,6.4,93,7.8,4.1,134,64
20,Nanjing,"[32.060255, 118.796877]",65,1.9,43,0,4.6,65,59
21,Tehran,"[35.686719, 51.422419]",75,82,20,0,4,75,52
22,Shenyang,"[41.805698, 123.431475]",161,4.6,43,58.4,5.1,161,98
23,Hanoi,"[21.0072, 105.83572]",121,14,93,0,0,121,68
24,Hong Kong,"[22.2796569, 114.1719873]",61,4.9,80,24.4,1.9,61,30
25,Baghdad,"[33.3128, 44.3615]",53,0,19,0,0,53,0
26,Chennai,"[13.08784, 80.27847]",99,0,55,0,0,104,0
27,Changsha,"[28.228209, 112.938814]",161,10,60,32.5,6.1,161,78
28,Wuhan,"[30.593099, 114.305393]",107,6.6,48,27.3,9.7,107,76
29,Tianjin,"[39.084158, 117.200983]",169,9.1,87,27,7.6,169,99
30,Hyderabad,"[17.38405, 78.45636]",170,0,36,0,0,167,0
32,Foshan,"[23.021548, 113.121416]",85,5.5,76.6,46.3,3.6,85,65
33,Zunyi,"[27.725654, 106.927389]",57,6.4,77.9,38.6,4.6,57,40
35,Riyadh,"[24.6775, 46.720556]",66,5,33,47,1,0,66
36,Ahmedabad,"[22.9987886, 72.6029661]",463,9.6,13.0435,41.6,3.3,463,66
37,Singapore,"[1.296183, 103.846181]",55,4,62,17,2,55,26
38,Shantou,"[23.353299, 116.681838]",63,5.5,60,0,2.6,63,36
39,Ankara,"[39.92727454762165, 32.85941127954306]",46,16.6,68.3,6.9,1.1,46,29
40,Yangon,"[16.8256, 96.1445]",154,0,53,0,0,154,0
41,Chengdu,"[30.6250145, 104.0670559]",55,4.6,59,39.8,1.1,53,55
42,Kolkata,"[22.56263, 88.36304]",177,0,31,0,0,177,0
43,Xi'an,"[34.341568, 108.940175]",89,3.7,58,30.9,2.6,89,78
45,Harbin,"[45.7258, 126.646]",99,5.5,65,45.1,7.6,99,52
46,Izmir,"[38.432222, 27.144444]",53,0,39,0,3.7,53,22
47,Zhengzhou,"[34.7466, 113.625368]",161,8.2,100,17.9,3.1,161,59
50,Hangzhou,"[30.274085, 120.15507]",87,5.5,68,1.7,3.6,87,65
