Rank,Asia's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,Shanghai,"[31.2047372, 121.4489017]",63,6.4,84.2,32.5,1.1,63,49
3,Beijing,"[39.954592, 116.468117]",193,9.1,87,6.5,1.1,198,76
6,Istanbul,"[41.014722, 28.954722]",30,3.8,65,6.1,2.7,59,30
10,Shenzhen,"[22.543099, 114.057868]",70,5.5,73.5,49.2,4.6,70,51
11,Suzhou,"[31.298886, 120.585316]",72,6.4,77,21.6,1.6,72,44
17,Bangkok,"[13.7563309, 100.5017651]",87,0.1,68,11.5,1.6,87,50
19,Chongqing,"[29.56301, 106.551557]",134,6.4,93,7.8,4.1,134,64
22,Shenyang,"[41.805698, 123.431475]",161,4.6,43,58.4,5.1,161,98
24,Hong Kong,"[22.2796569, 114.1719873]",61,4.9,80,24.4,1.9,61,30
27,Changsha,"[28.228209, 112.938814]",161,10,60,32.5,6.1,161,78
28,Wuhan,"[30.593099, 114.305393]",107,6.6,48,27.3,9.7,107,76
29,Tianjin,"[39.084158, 117.200983]",169,9.1,87,27,7.6,169,99
32,Foshan,"[23.021548, 113.121416]",85,5.5,76.6,46.3,3.6,85,65
33,Zunyi,"[27.725654, 106.927389]",57,6.4,77.9,38.6,4.6,57,40
36,Ahmedabad,"[22.9987886, 72.6029661]",463,9.6,13.0435,41.6,3.3,463,66
37,Singapore,"[1.296183, 103.846181]",55,4,62,17,2,55,26
39,Ankara,"[39.92727454762165, 32.85941127954306]",46,16.6,68.3,6.9,1.1,46,29
41,Chengdu,"[30.6250145, 104.0670559]",55,4.6,59,39.8,1.1,53,55
43,Xi'an,"[34.341568, 108.940175]",89,3.7,58,30.9,2.6,89,78
45,Harbin,"[45.7258, 126.646]",99,5.5,65,45.1,7.6,99,52
47,Zhengzhou,"[34.7466, 113.625368]",161,8.2,100,17.9,3.1,161,59
50,Hangzhou,"[30.274085, 120.15507]",87,5.5,68,1.7,3.6,87,65
