Rank,Europe's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3),Timestamp
1,Istanbul,"[41.014722, 28.954722]",24,2,65,8.7,0,59,24,2021-03-25 11:00:00
2,Moscow,"[55.74717, 37.62665]",54,0,52.7473,0,0,54,15,2021-03-25 11:00:00
3,London,"[51.5073509, -0.1277583]",55,0.6,83.8,11.8,0,55,23,2021-03-25 07:00:00
4,Saint Petersburg,"[59.96903, 30.28451]",5,2.3,81.1,29.4,0,5,1,2020-07-23 13:00:00
5,Berlin,"[52.5200066, 13.404954]",61,0,83,2.1,0,0,61,2021-03-25 08:00:00
6,Madrid,"[40.4167754, -3.7037902]",61,0.1,69.5,2.9,0,61,21,2021-03-25 08:00:00
7,Kyiv,"[50.444, 30.54]",10,0,99.9,0,0,10,6,2021-03-24 10:00:00
8,Rome,"[41.8932669, 12.4753855]",30,0,16,23.6,0,30,15,2021-03-23 23:00:00
9,Paris,"[48.856614, 2.3522219]",27,0.1,90,18.7,0,69,27,2021-03-25 07:00:00
10,Minsk,0,0,0,0,0,0,0,0,0
11,Vienna,"[48.2167394444444, 16.3809180555556]",93,0.1,71.3,0,0,93,42,2021-03-25 08:00:00
12,Hamburg,"[53.522906, 10.021966]",99,0.1,87,20.8,0,99,43,2021-03-25 07:00:00
13,Bucharest,"[44.4258997, 26.0544366]",10,0,65.5,0,0,0,10,2021-03-25 09:00:00
14,Warsaw,"[52.225171, 21.014783]",128,12.6,77.3,12,0,128,64,2021-03-25 06:00:00
15,Budapest,"[47.508605, 19.02764]",96,9.9,55,23.7,0,96,31,2021-03-25 08:00:00
16,Barcelona,"[41.38534, 2.153822]",35,0.1,81.4,0.9,0,0,35,2021-03-25 08:00:00
17,Munich,"[48.1351253, 11.5819806]",20,0.1,69.2,7,0,0,20,2021-03-25 08:00:00
18,Kharkiv,0,0,0,0,0,0,0,0,0
19,Milan,"[45.470501, 9.19746075]",63,0.1,69.4,0,0,63,24,2021-03-23 23:00:00
20,Belgrade,"[44.796959, 20.475288]",109,0,31.8,3.9,0,109,51,2021-03-25 07:00:00
21,Prague,"[50.094238, 14.442049]",112,0,61.5,3.5,0,112,39,2021-03-25 08:00:00
22,Nizhny,0,0,0,0,0,0,0,0,0
23,Novgorod,0,0,0,0,0,0,0,0,0
24,Kazan,0,0,0,0,0,0,0,0,0
25,Sofia,"[42.7325, 23.298611]",20,0,62.5,19.2,0,0,20,2021-03-25 09:00:00
26,Birmingham,"[52.486243, -1.890401]",30,0,95.3,26,0,30,11,2021-03-25 07:00:00
27,Brussels,"[50.8503396, 4.3517103]",80,0.1,81,6.1,0,80,50,2021-03-25 08:00:00
28,Samara,0,0,0,0,0,0,0,0,0
29,Ufa,0,0,0,0,0,0,0,0,0
30,Rostov on Don,0,0,0,0,0,0,0,0,0
31,Cologne,"[50.947268, 6.957649]",66,0,77,0,0,66,35,2021-03-25 06:00:00
32,Voronezh,0,0,0,0,0,0,0,0,0
33,Perm,0,0,0,0,0,0,0,0,0
34,Volgograd,0,0,0,0,0,0,0,0,0
35,Odessa,"[46.39984, 30.732417]",55,0,99.9,0,0,55,20,2021-03-25 11:00:00
