Rank,North America's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particulate Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,Mexico City,"[19.42461, -99.119594]",93,12.3,23,7.3,2.9,93,52
2,New York City,"[40.7127837, -74.0059413]",5,0,99,0,0,5,0
3,Los Angeles,"[34.06653, -118.22676]",34,1.6,72,33.6,1.5,25,17
4,Toronto,"[43.653226, -79.3831843]",34,2.3,93,19.2,0.2,34,0
5,Chicago,"[41.9136, -87.7239]",44,0,90,0,0,44,0
6,Houston,"[29.686389, -95.294722]",22,0,40.6,24.1,0.2,22,0
8,Montreal,"[45.5086699, -73.5539925]",47,6.4,71,17,5.1,47,0
9,Ecatepec de Morelos,"[19.532968, -99.030324]",104,6.7,23,4.8,1.5,104,84
10,Philadelphia,"[39.934635, -75.126126]",18,3.4,88,17.6,1.5,11,0
11,Phoenix,"[33.403055555556, -112.07527777778]",34,2.3,32.5,33.6,0.1,21,15
12,San Antonio,"[29.4072945, -98.431251]",10,0,65,10.4,0,0,0
13,Guadalajara,"[20.680450840176, -103.39873310432]",27,7.9,34,18.1,1.2,0,27
14,Puebla,"[19.115858055556, -98.277487222222]",49,9.9,23,0.1,7.3,0,49
15,San Diego,"[32.7101770008584, -117.142665]",34,0,92,34.4,0,12,0
16,Juárez,"[25.6516471, -100.1059194]",55,16.7,48,26.4,3.9,55,48
17,León,"[42.603888888889, -5.587222222222]",43,0.1,42,8.6,10.2,0,43
18,Dallas,"[32.8200608, -96.8601165]",47,8.9,68.6,5.6,2.9,0,47
20,Calgary,"[51.0471506, -114.0731477]",28,4,79,0.1,0,28,0
22,Zapopan,"[20.680450840176, -103.39873310432]",27,7.9,34,18.1,1.2,0,27
23,Monterrey,"[25.73, -100.30972222222]",76,20,49.6,20,4.6,76,71
25,Nezahualcóyotl,"[19.34561, -99.009381]",85,7.8,23,14.5,1.5,85,0
26,San Jose,"[37.34849, -121.89494]",38,2.9,81,16.8,0,38,0
28,Guatemala City,"[14.6069387, -90.5169696]",122,0,87,0,0,122,0
30,Naucalpan,"[19.482473, -99.243524]",50,10,23,12.1,4.3,0,50
31,Ottawa,"[45.4215296, -75.6971931]",30,2.5,89.8,21.6,0.2,30,0
32,Austin,"[30.3544356, -97.7602554]",21,0,68.5,20.8,0.8,17,0
33,Edmonton,"[53.5000575, -113.526047]",21,4.5,75.5,0.1,1.5,21,0
34,Mérida,"[20.973272222222, -89.624811111111]",62,7.8,39,12.5,0,62,0
36,Toluca,"[19.294298341379, -99.655297086786]",97,10.4,60,15.2,2.9,102,64
37,Jacksonville,"[30.356388888889, -81.635277777778]",57,0,93,0.9,0.6,57,22
38,Chihuahua,"[28.652227777778, -106.08535833333]",25,0.2,27,24.8,0.1,0,19
39,San Francisco,"[37.76595, -122.39902]",61,4.5,81.7,17.6,0,61,0
40,Indianapolis,"[39.787933, -86.13088]",20,5.6,87,20,0,9,0
43,Charlotte,"[35.281791, -80.851473]",61,0,93,0,0,61,0
45,Saltillo,"[25.421472222222, -100.99686111111]",33,0,14,32.8,0.1,21,15
46,Aguascalientes,"[21.903003362672, -102.28461279505]",49,1.5,14,9,1.8,49,26
47,Mississauga,"[43.54697, -79.65869]",21,2.3,94.8,16.8,0.2,21,0
48,San Luis Potosí,"[22.13175, -100.97691666667]",6,0,62,0,6.4,0,0
