Rank,North America's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3),Timestamp
1,Mexico City,"[19.42461, -99.119594]",59,13.4,23,1.6,2.9,59,35,2021-03-25 01:00:00
2,New York City,"[40.7127837, -74.0059413]",13,0,99,0,0,13,0,2021-03-25 01:00:00
3,Los Angeles,"[34.06653, -118.22676]",53,3.7,51.7,13.6,1.5,53,39,2021-03-24 23:00:00
4,Toronto,"[43.653226, -79.3831843]",68,2.3,87,16.8,0.2,68,0,2021-03-25 03:00:00
5,Chicago,"[41.9136, -87.7239]",27,0,79.7,0,0,27,0,2021-03-25 01:00:00
6,Houston,"[29.686389, -95.294722]",37,0,99.7,16.8,0.2,37,0,2021-03-25 01:00:00
7,Havana,0,0,0,0,0,0,0,0,0
8,Montreal,"[45.5086699, -73.5539925]",24,6.4,76,19,5.1,24,0,2021-03-25 01:00:00
9,Ecatepec de Morelos,"[19.532968, -99.030324]",85,12.3,23,3.2,1.5,85,53,2021-03-25 01:00:00
10,Philadelphia,"[39.934635, -75.126126]",67,3.4,96.6,17.6,0,67,0,2021-03-25 02:00:00
11,Phoenix,"[33.403055555556, -112.07527777778]",23,2.3,25,23.3,0.1,3,8,2021-03-25 00:00:00
12,San Antonio,"[29.4072945, -98.431251]",15,0,82,14.5,0,0,0,2021-03-25 01:00:00
13,Guadalajara,"[20.680450840176, -103.39873310432]",24,7,31.5,16.3,0.8,0,24,2021-03-25 01:00:00
14,Puebla,"[19.115858055556, -98.277487222222]",52,14,23,0.6,7.4,0,52,2021-03-25 01:00:00
15,San Diego,"[32.7101770008584, -117.142665]",38,0,88,28.9,0,38,0,2021-03-24 23:00:00
16,Juárez,"[25.6516471, -100.1059194]",97,20.4,77,4.8,2.9,97,71,2021-03-25 01:00:00
17,León,"[42.603888888889, -5.587222222222]",24,0.1,49.4,12.6,5.6,0,24,2021-03-25 06:00:00
18,Dallas,"[32.8200608, -96.8601165]",23,2.3,81.3,23.3,0.9,0,10,2021-03-25 01:00:00
19,Tijuana,"[32.528405555556, -116.92079444444]",-,0,65,0,0,0,0,
20,Calgary,"[51.0471506, -114.0731477]",9,3.8,73.5,0.1,0,9,0,2021-03-24 23:00:00
21,Tegucigalpa,0,0,0,0,0,0,0,0,0
22,Zapopan,"[20.680450840176, -103.39873310432]",24,7,31.5,16.3,0.8,0,24,2021-03-25 01:00:00
23,Monterrey,"[25.73, -100.30972222222]",24,23.6,57,17.6,4.6,122,80,2021-03-25 01:00:00
24,Managua,0,0,0,0,0,0,0,0,0
25,Nezahualcóyotl,"[19.34561, -99.009381]",11,6.7,23,11.2,2.9,0,0,2021-03-25 01:00:00
26,San Jose,"[37.34849, -121.89494]",25,2,77.7,24.8,0,21,0,2021-03-24 23:00:00
27,Santo Domingo,0,0,0,0,0,0,0,0,0
28,Guatemala City,"[14.6069387, -90.5169696]",87,0,82,0,0,87,0,2021-03-25 01:00:00
29,Port-au-Prince,0,0,0,0,0,0,0,0,0
30,Naucalpan,"[19.482473, -99.243524]",37,5.6,23,11.2,2.9,0,37,2021-03-25 01:00:00
31,Ottawa,"[45.4215296, -75.6971931]",59,2.9,97,16.8,0.2,59,0,2021-03-25 03:00:00
32,Austin,"[30.3544356, -97.7602554]",34,0,96,20,0.8,34,0,2021-03-25 00:00:00
33,Edmonton,"[53.5000575, -113.526047]",31,4.5,80,0.1,1.5,31,0,2021-03-24 23:00:00
34,Mérida,"[20.973272222222, -89.624811111111]",134,6.8,78,9,0,134,0,2021-03-24 23:00:00
35,Querétaro,0,0,0,0,0,0,0,0,0
36,Toluca,"[19.294298341379, -99.655297086786]",104,9.7,48,12.8,4.3,104,72,2021-03-25 00:00:00
37,Jacksonville,"[30.356388888889, -81.635277777778]",46,0,85.7,10.6,0.6,46,18,2021-03-25 02:00:00
38,Chihuahua,"[28.652227777778, -106.08535833333]",26,0.2,75,26.4,0.1,0,8,2021-03-25 00:00:00
39,San Francisco,"[37.76595, -122.39902]",30,3,82.1,28.1,0,30,0,2021-03-24 23:00:00
40,Indianapolis,"[39.787933, -86.13088]",23,6.3,82.3,13.6,0,23,0,2021-03-25 02:00:00
41,Columbus,"[40.002734, -82.994404]",-,0,56.3,0,0,0,0,2020-05-25 10:00:00
42,Fort Worth,"[32.7591432, -97.3423337]",-,0,66,28.1,0,0,0,2016-10-30 01:00:00
43,Charlotte,"[35.281791, -80.851473]",68,0,92,0,0,68,0,2021-03-25 02:00:00
44,Hermosillo,0,0,0,0,0,0,0,0,0
45,Saltillo,"[25.421472222222, -100.99686111111]",33,0,14,32.8,0.1,21,15,2021-03-23 12:00:00
46,Aguascalientes,"[21.903003362672, -102.28461279505]",42,1.3,16,9.7,2.2,28,42,2021-03-25 01:00:00
47,Mississauga,"[43.54697, -79.65869]",21,2.3,96.6,18.4,0.2,21,0,2021-03-25 03:00:00
48,San Luis Potosí,"[22.13175, -100.97691666667]",2,0,11,0,1.7,0,0,2021-03-25 01:00:00
49,Veracruz,0,0,0,0,0,0,0,0,0
50,San Pedro Sula,0,0,0,0,0,0,0,0,0
