Rank,Oceania's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3),Timestamp
1,Sydney,"[-33.872468, 151.213337]",31,3.4,88,4.8,1.5,31,16,2021-03-25 17:00:00
2,Melbourne,"[-37.8073959, 144.97]",44,0.7,69,14.5,1.1,44,11,2021-03-25 18:00:00
3,Brisbane,"[-27.4848, 153.032]",25,2.8,30,0,0,25,20,2021-03-25 17:00:00
4,Perth,"[56.399327, -3.434182]",21,0,87.5,0,0,21,9,2021-03-25 06:00:00
5,Auckland,"[-36.84742808, 174.7657304]",23,0,56,0,0,23,11,2021-03-25 22:00:00
6,Adelaide,"[-34.929051, 138.601092]",26,0.5,49,0,0,26,15,2021-03-25 16:00:00
7,Gold Coast,"[-27.9612, 153.402]",24,0,26.9,11.4,0,24,8,2021-03-25 17:00:00
8,Newcastle,"[-32.93118, 151.7596]",17,0,53,0,1.5,17,10,2021-03-25 17:00:00
9,Canberra,"[-35.285307, 149.131579]",2,0,53.5,7,0,2,3,2021-03-25 16:00:00
10,Honolulu,"[21.30758, -157.85542]",25,4.6,78,0,0.1,25,23,2021-03-24 21:00:00
11,Christchurch,"[-43.5473746, 172.6790455]",9,13.3,82.869,0,3.8,9,7,2021-03-25 19:00:00
12,Port Moresby,0,0,0,0,0,0,0,0,0
13,Sunshine Coast,0,0,0,0,0,0,0,0,0
14,Central Coast,0,0,0,0,0,0,0,0,0
15,Wollongong,"[-34.41706, 150.8873]",22,1.2,76.9,18.4,1.5,2,22,2021-03-25 17:00:00
16,Geelong,"[-38.17356, 144.3703]",15,1,58.9,14.5,4.3,14,10,2021-03-25 18:00:00
17,Hobart,"[-42.855, 147.315]",1,0,67.7,0,0,5,1,2021-03-25 17:00:00
18,Wellington,"[-41.29361375, 174.77193174]",51,0,51.3349,0,0,51,9,2021-03-25 13:00:00
19,Townsville,"[-19.2509, 146.807]",12,0,62,0,0,12,6,2021-03-25 17:00:00
20,Nouméa,"[-22.278905555556, 166.452925]",11,0,63,10.9,5.8,6,5,2021-03-25 17:00:00
21,Hamilton,"[43.2500208, -79.8660914]",25,2.3,73,28.1,3.3,25,0,2021-03-25 03:00:00
22,Cairns,0,0,0,0,0,0,0,0,0
23,Tauranga,0,0,0,0,0,0,0,0,0
24,Toowoomba,0,0,0,0,0,0,0,0,0
25,Papeete,0,0,0,0,0,0,0,0,0
26,Darwin,"[-12.467003, 130.850577]",7,2.7,66.5,6.5,0.7,10,4,2021-03-25 17:00:00
27,Lower Hutt,"[-41.21260048, 174.92087073]",51,0,49.3858,0,0,51,9,2021-03-25 13:00:00
28,Ballarat,0,0,0,0,0,0,0,0,0
29,Dunedin,"[-45.86909824, 170.51770311]",4,0,87,0,0,0,4,2021-03-25 19:00:00
30,Bendigo,"[-36.7784, 144.300064]",2,0,51,0,0,2,0,2021-03-25 17:00:00
31,Lae,0,0,0,0,0,0,0,0,0
32,Albury–Wodonga,0,0,0,0,0,0,0,0,0
33,Launceston,"[-41.419, 147.124]",2,0,52,0,0,5,2,2021-03-25 17:00:00
34,Suva,"[36.03392, 138.1074268]",42,2.3,61,41.6,1.5,42,14,2021-03-25 15:00:00
35,Honiara,0,0,0,0,0,0,0,0,0
36,Palmerston North,0,0,0,0,0,0,0,0,0
37,Mackay,"[-21.1595, 149.155]",15,0,69.2,0,0,15,13,2021-03-25 17:00:00
