Rank,South America's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particulate Matter (μg/m3),Coarse Particulate Matter (μg/m3)
1,São Paulo,"[-23.544845659, -46.627675592]",10,1,86.2,9.8,0,0,0
2,Lima,"[-12.07053, -77.04317]",48,0,90,6,3,48,15
3,Bogotá,"[4.5725, -74.0836]",25,8.2,58,7.8,1.4,25,19
5,Santiago,"[-33.422301, -70.651162]",3,2.5,81,1.4,0,9,44
7,Buenos Aires,"[-34.657988, -58.342538]",5,0.1,94,0.5,0,9,2
8,Salvador,"[13.70630556, -89.20011667]",93,0,72.5,0,0,93,0
9,Brasília,"[-22.902524804, -47.057210743]",10,2.8,93,0,0,0,10
12,Quito,"[-0.221393, -78.514005]",69,9.4,95.62,2.5,4.2,69,0
14,Medellín,"[6.2904806, -75.5555191]",68,0,98,0,0,68,0
15,Cali,"[3.4504194444444, -76.522266666667]",51,0,78,0,0,0,51
22,Belém,"[31.768319, 35.21371]",10,4.5,88,0,0,9,10
24,Córdoba,"[37.8935004, -4.7711062]",21,0.1,62,5.3,2.6,0,26
26,Guarulhos,"[-23.455534258, -46.518533403]",57,0,71,4.1,0,57,21
28,Campinas,"[-22.902524804, -47.057210743]",10,2.8,93,0,0,0,10
33,Callao,"[-12.00889, -77.08447]",5,5,77,1.1,2.6,0,0
35,Cartagena,"[37.60339, -0.9749027186018782]",26,0.1,93,13,2.6,0,26
36,Valencia,"[39.458055555556, -0.37666666666667]",70,0.1,81.7,0.5,4.6,70,21
44,São Bernardo do Campo,"[-23.698671086, -46.546232187]",25,1.9,86.5,13,0,25,0
49,Santo André,"[-23.698671086, -46.546232187]",25,1.9,86.5,13,0,25,0
50,Osasco,"[-23.526721419, -46.792077661]",65,1.9,73,0,1.1,65,30
