,South America's Most Populated Cities,Geolocation,Air Quality Index,Carbon Monoxide (μg/m3),Hydrogen (μg/m3),Ozone (μg/m3),Sulphur Dioxide (μg/m3),Fine Particle Matter (μg/m3),Coarse Particulate Matter (μg/m3),Timestamp
0,São Paulo,"[-23.544845659, -46.627675592]",20,1,88,20.4,0,0,0,2021-03-25 04:00:00
1,Lima,"[-12.07053, -77.04317]",40,0,70.7,7.7,2.9,40,12,2021-03-25 02:00:00
2,Bogotá,"[4.5725, -74.0836]",30,12.7,85,2.9,1.2,30,19,2021-03-25 02:00:00
3,Rio de Janeiro,0,0,0,0,0,0,0,0,0
4,Santiago,"[-33.422301, -70.651162]",54,2.8,93,9.7,0,8,54,2021-03-25 03:00:00
5,Caracas,0,0,0,0,0,0,0,0,0
6,Buenos Aires,"[-34.657988, -58.342538]",13,0.1,92,9.8,0,13,4,2021-03-25 03:00:00
7,Salvador,"[13.70630556, -89.20011667]",82,0,87.6,0,0,82,0,2021-03-25 01:00:00
8,Brasília,"[-22.902524804, -47.057210743]",17,2.8,83,0,0,0,17,2021-03-25 04:00:00
9,Fortaleza,0,0,0,0,0,0,0,0,0
10,Guayaquil,0,0,0,0,0,0,0,0,0
11,Quito,"[-0.221393, -78.514005]",28,3.3,78.01,27.6,2.3,14,0,2021-03-25 01:00:00
12,Belo Horizonte,0,0,0,0,0,0,0,0,0
13,Medellín,"[6.2904806, -75.5555191]",68,0,99,0,0,68,0,2021-03-25 02:00:00
14,Cali,"[3.4504194444444, -76.522266666667]",51,0,78,0,0,0,51,2021-03-24 12:00:00
15,Manaus,0,0,0,0,0,0,0,0,0
16,Curitiba,0,0,0,0,0,0,0,0,0
17,Maracaibo,0,0,0,0,0,0,0,0,0
18,Recife,0,0,0,0,0,0,0,0,0
19,Santa Cruz de la Sierra,0,0,0,0,0,0,0,0,0
20,Porto Alegre,0,0,0,0,0,0,0,0,0
21,Belém,"[31.768319, 35.21371]",11,3.4,94,0,0,7,11,2021-03-25 07:00:00
22,Goiânia,0,0,0,0,0,0,0,0,0
23,Córdoba,"[37.8935004, -4.7711062]",24,0.1,90,6.1,2.1,0,24,2021-03-25 06:00:00
24,Montevideo,0,0,0,0,0,0,0,0,0
25,Guarulhos,"[-23.455534258, -46.518533403]",78,0,65,12.2,0,78,22,2021-03-25 04:00:00
26,Barranquilla,0,0,0,0,0,0,0,0,0
27,Campinas,"[-22.902524804, -47.057210743]",17,2.8,83,0,0,0,17,2021-03-25 04:00:00
28,Barquisimeto,0,0,0,0,0,0,0,0,0
29,São Luís,0,0,0,0,0,0,0,0,0
30,São Gonçalo,0,0,0,0,0,0,0,0,0
31,Maceió,0,0,0,0,0,0,0,0,0
32,Callao,"[-12.00889, -77.08447]",5,4.8,70.7,5.3,2.5,0,0,2021-03-25 01:00:00
33,Rosario,0,0,0,0,0,0,0,0,0
34,Cartagena,"[37.60339, -0.9749027186018782]",18,0.1,97,2.5,2.6,0,18,2021-03-25 08:00:00
35,Valencia,"[39.458055555556, -0.37666666666667]",76,0.1,82.6,0.9,1.6,76,23,2021-03-25 06:00:00
36,El Alto,0,0,0,0,0,0,0,0,0
37,Duque de Caxias,0,0,0,0,0,0,0,0,0
38,Ciudad Guayana,0,0,0,0,0,0,0,0,0
39,Natal,0,0,0,0,0,0,0,0,0
40,Arequipa,0,0,0,0,0,0,0,0,0
41,Campo Grande,0,0,0,0,0,0,0,0,0
42,Teresina,0,0,0,0,0,0,0,0,0
43,São Bernardo do Campo,"[-23.698671086, -46.546232187]",26,1.9,88,26,0,9,0,2021-03-25 04:00:00
44,Nova Iguaçu,0,0,0,0,0,0,0,0,0
45,Trujillo,0,0,0,0,0,0,0,0,0
46,João Pessoa,0,0,0,0,0,0,0,0,0
47,La Paz,0,0,0,0,0,0,0,0,0
48,Santo André,"[-23.698671086, -46.546232187]",26,1.9,88,26,0,9,0,2021-03-25 04:00:00
49,Osasco,"[-23.526721419, -46.792077661]",14,1.9,82,0,0.6,9,14,2021-03-25 04:00:00
